Date,Time,PM2.5 particulate matter (Hourly measured),Status
10/1/2024,13:00:00,7.854,V ugm-3 (Ref.eq)
10/1/2024,14:00:00,5.92,V ugm-3 (Ref.eq)
10/1/2024,15:00:00,5.165,V ugm-3 (Ref.eq)
10/1/2024,16:00:00,4.859,V ugm-3 (Ref.eq)
10/1/2024,17:00:00,5.802,V ugm-3 (Ref.eq)
10/1/2024,18:00:00,5.189,V ugm-3 (Ref.eq)
10/1/2024,19:00:00,5.212,V ugm-3 (Ref.eq)
10/1/2024,20:00:00,4.764,V ugm-3 (Ref.eq)
10/1/2024,21:00:00,3.821,V ugm-3 (Ref.eq)
10/1/2024,22:00:00,3.373,V ugm-3 (Ref.eq)
10/1/2024,23:00:00,3.561,V ugm-3 (Ref.eq)
10/1/2024,24:00:00,3.986,V ugm-3 (Ref.eq)
11/1/2024,1:00:00,4.033,V ugm-3 (Ref.eq)
11/1/2024,2:00:00,3.939,V ugm-3 (Ref.eq)
11/1/2024,3:00:00,3.396,V ugm-3 (Ref.eq)
11/1/2024,4:00:00,3.491,V ugm-3 (Ref.eq)
11/1/2024,5:00:00,3.302,V ugm-3 (Ref.eq)
11/1/2024,6:00:00,3.325,V ugm-3 (Ref.eq)
11/1/2024,7:00:00,3.632,V ugm-3 (Ref.eq)
11/1/2024,8:00:00,3.561,V ugm-3 (Ref.eq)
11/1/2024,9:00:00,4.269,V ugm-3 (Ref.eq)
11/1/2024,10:00:00,4.693,V ugm-3 (Ref.eq)
11/1/2024,11:00:00,5.92,V ugm-3 (Ref.eq)
11/1/2024,12:00:00,6.25,V ugm-3 (Ref.eq)
11/1/2024,13:00:00,6.509,V ugm-3 (Ref.eq)
11/1/2024,14:00:00,6.84,V ugm-3 (Ref.eq)
11/1/2024,15:00:00,7.335,V ugm-3 (Ref.eq)
11/1/2024,16:00:00,6.769,V ugm-3 (Ref.eq)
11/1/2024,17:00:00,7.123,V ugm-3 (Ref.eq)
11/1/2024,18:00:00,8.349,V ugm-3 (Ref.eq)
11/1/2024,19:00:00,7.689,V ugm-3 (Ref.eq)
11/1/2024,20:00:00,7.005,V ugm-3 (Ref.eq)
11/1/2024,21:00:00,5.991,V ugm-3 (Ref.eq)
11/1/2024,22:00:00,5.425,V ugm-3 (Ref.eq)
11/1/2024,23:00:00,4.835,V ugm-3 (Ref.eq)
11/1/2024,24:00:00,4.151,V ugm-3 (Ref.eq)
12/1/2024,1:00:00,4.741,V ugm-3 (Ref.eq)
12/1/2024,2:00:00,3.75,V ugm-3 (Ref.eq)
12/1/2024,3:00:00,3.561,V ugm-3 (Ref.eq)
12/1/2024,4:00:00,3.703,V ugm-3 (Ref.eq)
12/1/2024,5:00:00,3.349,V ugm-3 (Ref.eq)
12/1/2024,6:00:00,4.127,V ugm-3 (Ref.eq)
12/1/2024,7:00:00,3.491,V ugm-3 (Ref.eq)
12/1/2024,8:00:00,3.16,V ugm-3 (Ref.eq)
12/1/2024,9:00:00,3.821,V ugm-3 (Ref.eq)
12/1/2024,10:00:00,3.42,V ugm-3 (Ref.eq)
12/1/2024,11:00:00,5.165,V ugm-3 (Ref.eq)
12/1/2024,12:00:00,8.561,V ugm-3 (Ref.eq)
12/1/2024,13:00:00,9.104,V ugm-3 (Ref.eq)
12/1/2024,14:00:00,9.387,V ugm-3 (Ref.eq)
12/1/2024,15:00:00,8.042,V ugm-3 (Ref.eq)
12/1/2024,16:00:00,7.217,V ugm-3 (Ref.eq)
12/1/2024,17:00:00,8.609,V ugm-3 (Ref.eq)
12/1/2024,18:00:00,11.179,V ugm-3 (Ref.eq)
12/1/2024,19:00:00,12.901,V ugm-3 (Ref.eq)
12/1/2024,20:00:00,18.656,V ugm-3 (Ref.eq)
12/1/2024,21:00:00,25.802,V ugm-3 (Ref.eq)
12/1/2024,22:00:00,21.84,V ugm-3 (Ref.eq)
12/1/2024,23:00:00,25.731,V ugm-3 (Ref.eq)
12/1/2024,24:00:00,25.778,V ugm-3 (Ref.eq)
13/1/2024,1:00:00,28.396,V ugm-3 (Ref.eq)
13/1/2024,2:00:00,25.944,V ugm-3 (Ref.eq)
13/1/2024,3:00:00,25.66,V ugm-3 (Ref.eq)
13/1/2024,4:00:00,7.453,V ugm-3 (Ref.eq)
13/1/2024,5:00:00,1.509,V ugm-3 (Ref.eq)
